Team Name,Player ID,Player Name,Position,Jersey
Posta Rangers,303,Elvis Osok Ochieng,Defender,22
Posta Rangers,522,Faustin Ojiambo,Defender,3
Posta Rangers,523,Benard Ondiek,Defender,17
Posta Rangers,524,Maurice Sunga,Defender,27
Posta Rangers,532,Dinken Mwema,Defender,41
Posta Rangers,535,Ivan Ochieng,Defender,20
Posta Rangers,559,Alvin Ochieng,Defender,31
Posta Rangers,561,Musa Mohammed,Defender,55
Posta Rangers,563,Bernard Odhiambo,Defender,35
Posta Rangers,570,Jimmy Mbugua,Defender,32
Posta Rangers,803,David Leon Kimungui,Defender,45
Posta Rangers,815,Reagan Ogolla,Defender,30
Posta Rangers,52,Kelvin Juma Simiyu,Midfielder,18
Posta Rangers,64,Maxwel Odada,Midfielder,24
Posta Rangers,323,Dimpol Omamo,Midfielder,28
Posta Rangers,402,Jackson Irungu Macharia,Midfielder,10
Posta Rangers,413,Shem Odinga,Midfielder,25
Posta Rangers,525,Vincent Wasambo,Midfielder,4
Posta Rangers,536,Oliva Maloba,Midfielder,21
Posta Rangers,537,Brian Marita,Midfielder,39
Posta Rangers,538,Eliud Lokuwam,Midfielder,11
Posta Rangers,560,Owen Mboya,Midfielder,7
Posta Rangers,585,Francis Nambute,Midfielder,22
Posta Rangers,605,Sammy Odera,Midfielder,24
Posta Rangers,625,Robert Karisa Kahindi,Midfielder,24
Posta Rangers,741,Brian Ouma,Midfielder,0
Posta Rangers,745,Trevor Omondi,Midfielder,8
Posta Rangers,464,Brian Lukaya Yakhama,Forward,9
Posta Rangers,490,Caleb Olilo,Forward,40
Posta Rangers,539,Lewis Shivachi,Forward,16
Posta Rangers,681,Veron Ombima,Forward,9
Shabana FC,314,Stephen Ochieng,Goalkeeper,30
Shabana FC,578,Caleb Otieno,Goalkeeper,56
Shabana FC,586,Duncan Omondi,Goalkeeper,1
Shabana FC,765,David Obasanjo,Goalkeeper,50
Shabana FC,48,Wycliffe Omondi,Defender,18
Shabana FC,304,James Mazembe,Defender,21
Shabana FC,305,Mark Okola,Defender,15
Shabana FC,306,George Onyango Orako,Defender,6
Shabana FC,316,Mark Oduor,Defender,80
Shabana FC,324,Brian Marvin,Defender,40
Shabana FC,412,Meja Atariza,Defender,2
Shabana FC,444,Humphrey Obina,Defender,12
Shabana FC,468,Brian Bett,Defender,27
Shabana FC,566,Kevin Munika Musamali,Defender,13
Shabana FC,622,Justus Munika Akweywa,Defender,19
Shabana FC,837,Victor Omondi,Defender,40
Shabana FC,39,John Owira,Midfielder,24
Shabana FC,53,Gilbert Abala,Midfielder,25
Shabana FC,168,Biron Ngolima Otieno,Midfielder,7
Shabana FC,307,Justine Omwando,Midfielder,16
Shabana FC,309,Keith Imbali,Midfielder,23
Shabana FC,310,Vincent Nyabuto,Midfielder,20
Shabana FC,317,Oscar Juma,Midfielder,14
Shabana FC,318,Duke Nyamweya Kurio,Midfielder,28
Shabana FC,320,Derrick Oketch,Midfielder,66
Shabana FC,321,Austine Musa Odongo,Midfielder,24
Shabana FC,322,Kevin Omundi,Midfielder,8
Shabana FC,415,Samuel Maiko,Midfielder,13
Shabana FC,755,Bronson Nsumbuga,Midfielder,70
Shabana FC,899,Jasper Omwando,Midfielder,49
Shabana FC,84,Mohammed Abdallah,Forward,19
Shabana FC,125,Danson Kiprono,Forward,20
Shabana FC,311,Brian Michira Migiro,Forward,10
Shabana FC,312,Ezekiah Dalphine Omuri,Forward,11
Shabana FC,422,Derrick Otieno,Forward,14
Shabana FC,423,Erick Otieno,Forward,45
Shabana FC,678,Instin Simiyu Wanjala,Forward,0
Shabana FC,806,Brian Olega,Forward,22
Shabana FC,900,Papa Diallo,Forward,90
Shabana FC,901,Batshi Assis Mambote,Forward,9
Sofapaka,115,Brian Opiyo Olango,Goalkeeper,41
Sofapaka,557,Morgan Sitawa,Goalkeeper,35
Sofapaka,809,Victor Kamungo,Goalkeeper,41
Sofapaka,875,Brian Marani,Goalkeeper,99
Sofapaka,339,Meshack Odhiambo,Defender,15
Sofapaka,343,Charles Ouma Junior,Defender,44
Sofapaka,798,Eugene Kinyua Barasa,Defender,0
Sofapaka,800,Emmanuel Obala Otieno,Defender,37
Sofapaka,807,Idrissu Shaibu,Defender,12
Sofapaka,808,Stephen Bonney,Defender,2
Sofapaka,833,Donald Gwadi,Defender,0
Sofapaka,877,Mophat Kovelo,Defender,25
Sofapaka,45,Tyron Kariuki,Midfielder,17
Sofapaka,85,Japheth Lihanda Mzungu,Midfielder,71
Sofapaka,195,Duncan Otieno,Midfielder,3
Sofapaka,223,Clifton Miheso,Midfielder,7
Sofapaka,331,Donato Okello,Midfielder,8
Sofapaka,333,Joseph Kuloba,Midfielder,17
Sofapaka,338,Derrick Khaemba,Midfielder,77
Sofapaka,596,David Nshimirimana,Midfielder,25
Sofapaka,698,Kelvin Kwandiva,Midfielder,0
